¶ De utilitate Phlebotomiae, et cautelis in ea obseruandis.	On the usefulness of bloodletting, and the precautions to observe in it.
Quando frangitur eius medium, quod declinat ad inferiora, et accidit ei dolor uehemens, et difficultas in anhelitu, et tussis: et fortasse euomit sanguinem, et declaratur concauitas in osse fracto, et non occultatur sensui, Restauratio eius est, ut resupinetur infirmus super dorsum suum: et pone inter Spatulas eius puluinar.	When its middle part fractures, which slopes downward, and severe pain, difficulty in breathing, and cough occur: and perhaps he vomits blood, and a concavity is visible in the broken bone, and it is not hidden from the senses. Its restoration is achieved by having the patient lie on his back: and placing a cushion between his shoulder blades.
Deinde preme humeros eius, et aggrega costas a duabus partibus uel lateribus cum manibus: et subtiliare in aequatione eius, secundum omnem modum quo possibile est illud et conuenit, donec redeat figura ossis, secundum quod oportet.	Then press his shoulders and bring together the ribs on both sides with your hands: and smooth them in alignment, in every way possible and fitting, until the shape of the bone returns to what is required.
Deinde pone super ipsum emplastrum et stuppam, et pone desuper astellam ex tabula subtili ex salice, aut chalingi, et ex eis similibus in leuitate, postquam tu inuoluis eam in panno.	Then place a plaster and wool over it, and place a splint from a thin board of willow, or poplar, and others similar in lightness, after wrapping it in cloth.
Deinde subtiliare in ligando eam super os fractum, ut non remoueatur: et uade cum ligatura secundum rotunditatem ad dorsum aliquotiens, et stringe ipsum strictura decenti.	Then carefully bind it over the broken bone, so it does not move: and take the bandage around to the back several times, and tighten it with appropriate compression.
Deinde considera ligaturam in omni hora, et quotienscumque mollificatur, stringe eam: et si necessitas eius prouocat ad solutionem eius apud pruritum, uel corrosionem quae accidit in loco, aut dolorem, aut apostema: tunc propera, et solue eam, et eradica emplastrum, et rectifica quod accidit cum modo curationis eius.	Then inspect the binding every hour, and whenever it loosens, tighten it: and if there is a need to loosen it due to itching, or erosion at the site, or pain, or swelling, then quickly loosen it, remove the plaster, and correct what has happened with the appropriate treatment.
Deinde reduc emplastrum, si uides ad illud faciem: et annecte ei stricturam, donec sanetur.	Then replace the plaster, if you see it necessary: and attach the compression until it heals.
¶ De restauratione Costarum, quando franguntur.	¶ On the restoration of ribs when they are fractured.
Caput IX.	Chapter IX.
Scias, quod Costarum fractura non accidit, nisi in locis grossis quae sequuntur dorsum, et ex extremitatibus earum ab anteriori parte.	Know that fractures of the ribs only occur in thick areas that follow the back, and at their ends on the front side.
Et non accidit eis attritio, nisi propterea, quia sunt cartilaginosae.	And they do not suffer attrition, except because they are cartilaginous.
Et cognitio ipsius non occultatur sensui apud inquisitionem cum digitis.	And its detection is not hidden from the senses upon examination with the fingers.
Et restauratio eius fit ita, ut aeques fracturam cum digitis secundum modum possibilem, donec aequetur figura, secundum quod oportet.	And its restoration is done by aligning the fracture with the fingers in the best possible way until the shape is even, as it should be.
Deinde emplastra, et stringe os fractum cum astella, si indiget illo.	Then apply plasters, and secure the broken bone with a splint, if it needs one.
Et si fractura Costarum est decliuis ad interiora: tunc accidit infirmo dolor uehemens, et punctura, sicut punctura illa quae accidit illi qui habet pleuresim: propterea, quod os pungit uelamen, et etiam ei accidit difficultas anhelitus, et tussis, et uomitus sanguinis multi: et haec est difficilis curationis.	And if the rib fracture is inclined inward, the patient experiences severe pain and stabbing, like that which occurs in one who has pleurisy, because the bone pierces the membrane, and he also suffers from difficulty in breathing, coughing, and vomiting a lot of blood: and this is difficult to treat.
Et iam ingeniati sunt antiqui in ea cum ingeniis multis: et ex eis sunt qui dicunt, ut ponas cibos infirmi qui generent inflammationem et uentositatem, ut inflammetur uenter, et extendatur, et impellatur fractura ad exteriora.	The ancients have already devised many methods for this: and some of them say to give the patient foods that generate inflammation and bloating, so that the abdomen swells, expands, and pushes the fracture outward.
Nos uero abhorremus, ut non fiat caussa uelox ad faciendum apostema calidum, si non accidit.	However, we avoid this, so as not to quickly cause a hot abscess if it has not already happened.
Si autem iam accidit, tunc addit in eo.	But if it has already happened, then increase it.
Et dixerunt quidam eorum: ponatur super locum uentosa, deinde sugatur cum fortitudine, et est similius ratiocinationi.	And some of them said: place a cupping glass on the site, then draw with strength, and this is more reasonable.
Verumtamen timetur, quod attrahat uentosa superfluitates ad locum, propter dispositionem debilitatis.	However, it is feared that the cupping glass may draw excess fluids to the site, due to the weakened condition.
Et dixerunt quidam eorum: oportet ut cooperiatur locus cum lana quae iam submersa est in oleo calido: et ponantur puluilli inter Costas, donec impleatur: ut sit ligatura aequalis quando inuoluis eam secundum rotunditatem.	And some of them said: the site should be covered with wool soaked in warm oil, and cushions should be placed between the ribs until they are filled, so that the binding is even when you wrap it around.
Deinde curetur infirmus curatione pleuresis ex cibo et medicina.	Then the patient should be treated as for pleurisy with food and medicine.
Quod si coartat infirmum res uehemens, quam non tolerat, et os pungit uelamen punctura laedente, et timemus super infirmum: tunc oportet, ut scindamus super locum, et detegamus a Costa fracta.	But if a severe condition arises that the patient cannot bear, and the bone pierces the membrane with an injurious prick, and we fear for the patient, then we must cut above the site and expose the fractured rib.
Deinde ponamus super ea instrumentum quod conseruat sifac, cuius rememoratio praecessit: et incidamus os cum facilitate, et incidamus ipsum.	Then place on it the instrument that preserves the tissue, previously mentioned: and cut the bone with ease, and remove it.
Deinde aggregemus duo labia uulneris, si est magnum cum sutura: et curemus ipsum cum emplastris, donec sanetur.	Then bring together the two lips of the wound, if it is large, with a suture: and treat it with plasters until it heals.
Quod si accidat interim apostema calidum, tunc propera, et infunde puluillos in oleo rosato, et pone super locum: et curetur infirmus cum eo quod conuenit apostemati.	If a hot abscess arises in the meantime, then act quickly, soak cushions in rose oil, and place them on the site: and treat the patient with what is suitable for the abscess.
Interim etiam resupinetur super latus super quod dormit, donec sanetur.	Meanwhile, let him also lie on the side on which he sleeps, until he heals.
¶ De restauratione fracturae Spondilium dorsi et colli.	¶ On the restoration of fractures of the vertebrae of the back and neck.
Caput X.	Chapter X.
Ossibus quidem colli quandoque aduenit fractura, et raro accidit eis attritio: et similiter Spondilibus dorsi etiam.	Fracture sometimes happens to the bones of the neck, and rarely do they suffer attrition: the same is true of the vertebrae of the back.
Cum ergo accidit illud alicui, et uis scire, an sanetur, an non sanetur: tunc confidera.	When this happens to someone and you wish to know whether it will heal or not, then consider this.
Nam si uides manus eius iam mollificatas, et stupefactas, et mortuas: et non potest mouere eas, neque extendere eas, neque constringere eas: et quando constringis eas cum digitis tuis, et pungis eas cum acu, non sentit illud, et non sentit in eis dolorem: tunc scias, quia non sanatur, et in pluribus dispositionibus est mortale.	For if you see that his hands are softened, numb, and lifeless, and he cannot move them, nor extend, nor grip them; and when you press them with your fingers and prick them with a needle, he feels nothing, nor any pain: then you know it will not heal, and in most cases, it is fatal.
