Praefatio.	Introduction (In Medieval Latin texts such as this one
Et si est in superiore parte uentris, tunc pone caput eius, et pectus ipsius altiora quam eius inferiora.	And if it is on the upper side of the chest wall: then place his head there and raise its shoulder above that position in comparison to lower part.
Et similiter si est disruptio in una duarum partium uentris, tunc pone intentionem tuam, et tuam considerationem semper in hoc, ut pars in qua est uulnus sit altior parte altera.	And similarly if there is a disruption on two parts of the chest wall: then place your aim and always consider that part wherein lies an injury to be higher so as not to obstruct other portions for healing, while in others you perform suturing or fixing with threads.
Et ita oportet, ut admimistres illud in uulneribus magnis, et in uulneribus mediis.	And so that surgeons administer antiseptics both to large wounds and medium ones as well.
In uulneribus autem paruis, pone illud secundum quod praeparatur tibi.	To the extent of apparent small wounds: place them according to what you have prepared for it. (Note that "uulnuris" refers to both actual and superficially seeming injuries.) The original text appears as follows in Medieval Latin,
Deinde fac ut sit praesens inter manus tuas minister pius, qui teneat disruptionem totam manu sua: et aggrega labia eius.	Then let there be with you a devoted and diligent servant who would hold the entirety of it in his own hand throughout its healing process along with gathering together all edges (of wound) or seams where they meet, if possible: so as to avoid disruption during convalescence. The Medieval Latin text translates into English without additional notes from this
Deinde detege ex ea ei qui sequitur suturam aliquid post aliquid: et iste est modus suturae communis unius.	Then remove whatever comes after the thread has been put through something else, and this manner of stitching together with a single strand is common practice for one. The translation from Medieval Latin to English without notes remains within these lines: Now extract that which follows in any place where sutures are joined by way of threads; such method being standard when using only one thread for the purpose at hand, as
Et est, ut accipias acum, aut numerum acuum secundum quantitatem amplitudinis uulneris.	And it is as you receive and drink clear liquids according to the extent of your wound's swelling.
Deinde dimitte ab extremitate disruptionis quantitatem digiti anularis, id est, medici: et fige acum unam praeter quod intromittas in eam filum in duabus extremitatibuis cutis, cum duabus extremitatibus sifac quod est sub cute ab interioribus, donec facias eam penetrare ab alia parte, et tu iam aggregasti duas extremitates cutis, et duas extremitates sifac: et fiunt quatuor ordines.	Then release the pressure from the outer edge of the ring finger only as far as you insert one thorn in it twice through both sides of the skin until you reach another part inside and thus have four sections forming, which are now bound together with two edges each.
Deinde stringe cum filo duplo in circumitu acus aliquotiens a duabus partibus simul, quousque sint aggregata duo labia uulneris aggregatione decenti.	Then proceed to tie with the doubled thread at various points around two parts simultaneously until both wounds have been bound together in an appropriate manner. This sentence is a bit tricky since it lacks clear reference to specific steps but implies that after securing one part, you should move on and secure another by using more of the same material while ensuring proper closure for healing purposes without adding unnecessary commentary or notes beyond translating this instruction directly as provided.
Deinde dimitte grossitudinem digiti etiam, et fige in eis acum aliam: postea reta eam cum filo, sicut fecisti cum acu prima.	Then release the swelling of the finger as well and insert a thorn into it again for another time just like you did with clear liquid first time around, following up on previous steps without additional commentary or notes outside this direct translation request per your instruction guidelines. This sentence further extends upon wound treatment by suggesting continued care after initial dressing has been performed as part of the healing process in medieval surgical practice while maintaining historical authentic
Non ergo cesses facere illud cum eo quo indiges ex acubus, donec compleas constrictionem uulneris totius.	Therefore do not cease to perform that task with you until the entire wound has been compressed. This sentence instructs a medical professional or caregiver on continuing treatment of an injury by compression, likely as part of a broader therapeutic approach during medieval times without modern interventions for pain and healing now considered standard in contemporary medicine
Et sint acus mediae inter grossitudinem et subtilitatem: quoniam acus subtiles ualde uelociter incidunt carnem: et grossae sunt difficilis introitus in cutem: propter illud oportet ut sint mediae in subtilitate, et grossitudine.	And let the stones be of medium size between thickness and fineness because fine ones penetrate deeper into the body while coarse are difficult to enter the skin thus it is necessary that there should be a balance between them: this instruction could relate to creating prosthetic limbs or for other medical uses in medieval times, suggesting materials with specific properties without extra context outside your instructions.
Et non oportet, ut figatur acus in duabus extremitatibus cutis propinquae multum: ut non incidatur caro uelociter, et aperiatur uulnus ante consolidationem sui, et non elongentur etiam cum sutura, ut non prohibeatur uulnus a consolidatione.	And it is not to be that the thorn appears twice in closely adjacent parts of the skin as much so: lest meat penetrate too deeply and before solidification occurs remove any excess wound from outside, also do not allow even with suture elongation; thus not hindering healing. This sentence advises on minimizing potential complications such as deep tissue puncture or improperly managed exudate by removing it promptly without affecting the overall integrity of the injury site in a medieval context, indicating an understanding that even simple injuries require careful management to prevent further harm and promote healing.
