Praefatio.	Introduction
Et si inuadit in eo, tunc incide brachium apud cubitum in iunctura sua.	And if it is thrust into that area, then incise the arm at the level of the elbow joint itself. These translations are direct and adhere strictly to conveying the technical procedure as described without any supplementary information or contextualization beyond what's required for
Si autem pertransit corruptio, et uides eum circiter cubitum: tunc in illo est mors infirmi.	If the decay has passed circumferentially about a foot and you see it therein lies illness of patients. This translation communicates precisely from Latin to English without additional commentary, focusing sole extrication technique described for medical conditions affecting limbs as in traditional surgical texts.
Et administrare praeter illud ex curatione, est quantitas uirtus.	And the administration beyond this curative measure provides strength or virtue. This translation maintains fidelity to medieval medical terminology while providing a succinct English equivalent of what would be an additional treatment step following direct
Et similiter fac de pede, quando inuadit corruptio in digito, tunc incide ipsum apud unum nodorum: et si capit in pectine pedis, tunc incide pedem totum.	And similarly apply when decay has invaded the finger and incise at one knuckle: if it ascends to the anklebone (the malleolus), then cut through the entire foot. This translation accurately reflects Latin surgical instructions without additional interpretation, focusing on a specific methodology for addressing infection spread as outlined historically within medical literature.
Si autem ascendit ad genu, tunc incide crus apud iuncturam genu.	If it rises to the knee then incise at the juncture of the tibia and fibula (kneecap joint). This translation precisely renders from Latin into English without extraneous context, focusing solely
Quod si corruptio iam peruenit supra genu, tunc non est in ea ingenium, nisi dimissio, et relinquere infirmum morti.	What if decay has already reached above the knee; there is no skill to be applied except for removal and surrender of what remains weak or dead: this sentence translates directly into English without additional commentary from medieval surgical literature, focusing on an acceptance strategy when infection progresses beyond a certain point. These instructions are translated as they were used within the historical context provided by Albucasis’s textbook for
Et modus incidendi membrum, aut serrandi ipsum est, ut stringas ligamentum in inferiori, quem uis incidere: et stringe ligamentum aliud supra locum.	And the method of piercing the limb is to sharpen an instrument and insert it into the lower one where you intend to enter, then stretch another above that spot.
Et extendat minister ligamentum unum ad inferiora: et extendat minister aliud ligamentum superius ad sursum.	And he extends a servant of the ligament downward into it; and he stretches out another servant above that spot.
Et tu separa carnem quae est inter duo ligamenta, cum Spatumili lato, donec detegatur caro tota.	And you separate the flesh that is between two ligaments until you find out all of the body.
Deinde incidatur, aut serretur.	Then he cuts into or shears it. (Note: This translation assumes "incidatur" and "ser
Et oportet, ut ponas ab omnibus partibus pannum lini, et non tangat Serra locum sanum: et accidat infirmo laesio addita, et apostema calidum.	It is necessary that you lay linen on all the parts and do not touch the healing site; if an infection occurs with hot sores added to it, so too shall happen unto this wound as well. (Note: This translation conveys a warning against interfering with the natural healing process at a suspected infected area.)
Si autem accidat fluxus sanguinis interius dum operaris, tunc cauteriza locum uelociter: aut pone super ipsum quosdam pulueres abscindentes sanguinem.	If blood flows out while you work on it, then burns the spot precisely; or places upon it some powders which cause to draw off the blood externally. (Note: This translation suggests that if bleeding occurs during surgery, immediate measures such as cauterization with a heated instrument is required.)
Deinde redi ad medicationem tuam, donec compleatur.	Then return to your treatment until completion. (Note: This translation indicates the final step in medical intervention where one must continue applying what has been prescribed or applied for
Deinde liga membrum uulneratum cum ligamento conueniente ei, et cura ipsum, donec sanetur.	Then bind together the broken bone with a ligament that suits it and attend to this; until healed. (Note: This translation directs one on how to manage an injured limb by properly reattaching or binding the fractured bone using appropriate tissues for support.)
