Praefatio.	A preface.
Deinde preme quod est supra hypocundria paulatim, donec ascendat foetus ad superiora.	Then press what is above the navel gradually until the fetus rises to the upper parts.
Deinde intromittat manus suas, et aequet foetum paulatim: et praecipe mulieri, ut comprimatur, donec egrediatur foetus.	Then he inserts his hands and equates the fetus gradually; and commands the woman to compress herself until the fetus emerges.
¶ Exitus foetus latitudinaliter pendens ex manibus.	The exit of the fetus is latitudinally hanging from his hands.
Ingenietur in reductione manus eius.	He should insert his hand again.
Si autem non potest reducere eam, tunc eleua mulierem, et fac eam ambulare.	If he cannot reduce her, then he should lift the woman and make her walk.
Si uero ambulare non potest, tunc fac eam iacere super lectum: et concute crura eius concussione uehementi.	If she cannot walk, then make her lie upon the couch and strike her thighs with great force.
Deinde administra linimentum quod praeparasti ex mucillaginibus.	Then he administers the liniment which you prepared from the mucilages.
Quod si accipit eam partus, tunc fac eam sedere super sedem.	If she takes him out, then make her sit upon a seat.
Deinde stude in reductione manus, et aequa foetum secundum figuram naturalem: et fac sternutare mulierem, et praecipe ei, ut comprimat se, donec egrediatur.	Then he should study the reduction of his hands and equate the fetus according to its natural shape; and make the woman snort and command her to compress herself until she emerges.
¶ Exitus foetus super collum suum, expansis manibus, et est facies eius ad dorsum matris suae.	The fetus exits over its neck, with its hands outstretched, and its face towards its mother's back.
Oportet ut teneat Obstetrix manum foetus, deinde reuoluat eum paulatim, et aequet eum cum facilitate.	It is necessary for the obstetrician to grasp the hand of the fetus, then slowly retract it, and set it in place with facility.
Cum ergo aequatur, tunc pone super uuluam eius quod narrauimus ex oleo et mucillaginibus.	Then when it is set in place, he will put over the wound that we have previously described with olive oil and mucilage.
Deinde praecipe ei, ut moueatur paulatim.	Then instruct him to move it gradually.
Cum ergo feceris illud, tunc fac eam sedere super sedem, et praecipe ei ut inclinetur ad latus dextrum.	When you have done that, then make her sit on a seat, and instruct her to lean towards the right side.
Deinde praecipe ei, ut comprimatur: et fac eam sternutare cum condisi.	Then instruct her to press herself in: and make her yawn with the compresses.
¶ Exitus foetus praeparati super latus.	The exit of the prepared fetus is made on the side.
Quando descendit ad orificium matricis secundum hunc modum cum secundina, tunc scinde secundinam cum ungue tuo, donec euacuetur ex humiditate.	When it comes down to the matrix's opening in this manner with a second, then cut the second with your finger until it is drained of moisture.
Si ergo suspenditur super faciem foetus, et collum eius, tunc incide eam ex umbilico: ut non retineatur, et moriatur.	If therefore the fetus is suspended over its face and neck, then cut her from the navel: so that it will not be retained and will die.
Deinde impelle foetum ad interiora, donec ponas eam secundum quod oportet: et praecipe mulieri, ut comprimat se aliquotiens: ipse enim egredietur exitu leui.	Then push the fetus into its cavities until you place it as is necessary: and instruct the woman to press herself a few times: for he himself will emerge with a light exit.
¶ Exitus Geminorum, aut foetuum multorum.	The exit of twins or many fetuses.
Scias, quod Gemini multotiens nascuntur: et quandoque nascuntur tres, et quatuor.	You know that twins are often born, and sometimes even three and four.
Verumtamen illud extraneum est, et raro contingit.	But that is unusual and rarely occurs.
Quinque uero est res extra naturam, et non uiuunt penitus: et continet eos, quamuis multiplicentur, secundina una: et separantur per sifach, distinguens inter eos ligatum in umbilico cuiusque eorum.	Five are things outside of nature, and they do not live at all. And although they multiply, they contain only one, and separate them by a siphon, distinguishing between them as bound to the navel of each of their own.
Et quandoque egrediuntur sicut egreditur foetus unus exitu naturali, facili: et egrediuntur exitu illaudabili, sicut narrauimus.	And when they emerge as a single entity, like a newborn emerges from one birth naturally and easily, but some emerge through an ill-fated outlet, as we have narrated.
Quod si difficiles fuerint quidam eorum apud partum, et perueniunt ad illud quod diximus ex figuris innaturalibus, tunc cura eos sicut narrauimus: et sit ob stetrix subtilis, et faciat quod facit cum facilitate et tarditate, et ingenietur secundum omnem figuram cum eo quod praeparatur ei ex ingenio ducente ad salutem.	If some of them are difficult to pass through the birth and arrive at what we said from unnatural figures, then cure them as we have narrated: and let a skilful midwife be present, who will do what she does with ease and slowness, and devise according to all shapes that is prepared for her by her own ingenuity towards health.
¶ Rememoratio eius quod formatur in matrice ex embrionibus, et abortiuntur.	Remembrance of what is formed in the womb from embryos, and are aborted.
Quandoque formatur in matrice unus, et duo, et tres, et quatuor, et quinque, et sex, et septem, et plures decem: et iam uerificatum est apud me, quod mulier abortiendo emisit septem, et alia quindecim, omnes formatos.	At times a single one is formed in the womb, and two, and three, and four, and five, and six, and seven, and many ten: and it has already been verified by me that when a woman gives birth to seven, and fifteen others, all formed.
Quod factum est mensuratione gloriosi sapientis.	What was done through the measurement of the glorious wise man.
Hoc ergo totum oportet ut sit in scientia Obstetricis.	This is therefore that everything should be in the science of obstetrics.
Fortasse enim perueniet ad eam simile illius: opponat ergo ei cum illo quod oportet	Perhaps however, it will lead to that similar thing of his: opposes therefore to him what is necessary.
¶ De extractione foetus mortui.	About the extraction of a dead fetus.
Caput LXXVI.	Chapter 76.
Quando curas foetum mortuum cum eo quod dixi in diuisione ex medicatione, et non egreditur, et cogeris uti operatione cum manu, tunc oportet ut consideres.	When you cure a dead fetus with what I said about the division from medicine, and it does not emerge, and you must use an operation with your hand, then you should consider.
Si ergo mulier est sanae uirtutis, et non est cum aliquo ex accidentibus, ex quibus timetur super eam perditio: tunc oportet ut resupinetur mulier super lectum, super dorsum suum, et sit caput eius inclinatum inferius, et crura eius eleuata: et ministra teneat eam a duabus partibus, aut ligetur ad lectum, ut non extrahatur corpus eius apud extractionem foetus.	If the woman is therefore sane in virtue and not with any accident from which she is feared to be ruined: then it must that the woman lies on her back, upon her back, and her head bent downwards, and her legs raised: and the servant must hold her from two sides, or bind her to the bed, so that her body shall not be taken out at the extraction of the fetus.
Deinde humecta os matricis ex oleis humidis cum mucillagine alteae, et foenugraeci, et seminis lini.	Then moisten the mouth of the uterus with oil from olives wet with gauze and fenugreek, and flaxseed.
Deinde inungat Obstetrix manum suam cum istis oleis et mucillaginibus: deinde intromittat eam in matricem cum facilitate.	Then the midwife anoints her own hand with these oils and gauzes, then inserts it into the uterus with ease.
Deinde quaerat cum ea locum in quo figat uncinos ex foetu, et loca conuenientia ad illud.	Then seek out with her where the navel of the fetus is located, and suitable places for it.
Considera ergo tunc, si foetus est praeparatus ut descendat super caput suum: tunc fige uncinos in oculos eius, aut in collo eius, aut in ore eius, aut in palato ipsius, aut sub barba eius, aut in furcula ipsius, aut in locis propinquis costis, et sub hypocundriis.	Consider therefore at that time, if the fetus is prepared to descend over its head: then fasten the navel into its eyes, or its neck, or its mouth, or on its palate, or under its beard, or in its lock, or in nearby costal places, and beneath the navel itself, or near the hypocundrium.
